Sno,Date,Time,State/UnionTerritory,ConfirmedIndianNational,ConfirmedForeignNational,Cured,Deaths,Confirmed,Correlate
142,3/14/2020,6:00 PM,Ladakh,3,0,0,0,3,0
143,3/14/2020,6:00 PM,Tamil Nadu,1,0,0,0,1,0
144,3/14/2020,6:00 PM,Jammu and Kashmir,2,0,0,0,2,0
145,3/14/2020,6:00 PM,Punjab,1,0,0,0,1,0
146,3/14/2020,6:00 PM,Karnataka,6,0,0,1,6,0
147,3/14/2020,6:00 PM,Maharashtra,14,0,0,0,14,0
148,3/14/2020,6:00 PM,Andhra Pradesh,1,0,0,0,1,0
149,3/15/2020,6:00 PM,Andhra Pradesh,1,0,0,0,1,0
150,3/15/2020,6:00 PM,Delhi,7,0,2,1,7,0
151,3/15/2020,6:00 PM,Haryana,0,14,0,0,14,0
152,3/15/2020,6:00 PM,Karnataka,6,0,0,1,6,0
153,3/15/2020,6:00 PM,Kerala,22,0,3,0,22,0
154,3/15/2020,6:00 PM,Maharashtra,32,0,0,0,32,0
155,3/15/2020,6:00 PM,Punjab,1,0,0,0,1,0
156,3/15/2020,6:00 PM,Rajasthan,2,2,3,0,4,0
157,3/15/2020,6:00 PM,Tamil Nadu,1,0,0,0,1,0
158,3/15/2020,6:00 PM,Telengana,3,0,1,0,3,0
159,3/15/2020,6:00 PM,Jammu and Kashmir,2,0,0,0,2,0
160,3/15/2020,6:00 PM,Ladakh,3,0,0,0,3,0
161,3/15/2020,6:00 PM,Uttar Pradesh,12,1,4,0,13,0
162,3/15/2020,6:00 PM,Uttarakhand,1,0,0,0,1,0
163,3/16/2020,6:00 PM,Andhra Pradesh,1,0,0,0,1,0
164,3/16/2020,6:00 PM,Delhi,7,0,2,1,7,0
165,3/16/2020,6:00 PM,Haryana,0,14,0,0,14,0
166,3/16/2020,6:00 PM,Karnataka,6,0,0,1,6,0
167,3/16/2020,6:00 PM,Kerala,23,0,3,0,23,0
168,3/16/2020,6:00 PM,Maharashtra,32,0,0,0,32,0
169,3/16/2020,6:00 PM,Odisha,1,0,0,0,1,0
170,3/16/2020,6:00 PM,Punjab,1,0,0,0,1,0
171,3/16/2020,6:00 PM,Rajasthan,2,2,3,0,4,0
172,3/16/2020,6:00 PM,Tamil Nadu,1,0,0,0,1,0
173,3/16/2020,6:00 PM,Telengana,3,0,1,0,3,0
174,3/16/2020,6:00 PM,Jammu and Kashmir,3,0,0,0,3,0
175,3/16/2020,6:00 PM,Ladakh,4,0,0,0,4,0
176,3/16/2020,6:00 PM,Uttar Pradesh,12,1,4,0,13,0
177,3/16/2020,6:00 PM,Uttarakhand,1,0,0,0,1,0
178,3/17/2020,6:00 PM,Andhra Pradesh,1,0,0,0,1,0
179,3/17/2020,6:00 PM,Delhi,8,0,2,1,8,0
180,3/17/2020,6:00 PM,Haryana,1,14,0,0,15,0
181,3/17/2020,6:00 PM,Karnataka,11,0,0,1,11,0
182,3/17/2020,6:00 PM,Kerala,24,2,3,0,26,0
183,3/17/2020,6:00 PM,Maharashtra,36,3,0,1,39,0
184,3/17/2020,6:00 PM,Odisha,1,0,0,0,1,0
185,3/17/2020,6:00 PM,Punjab,1,0,0,0,1,0
186,3/17/2020,6:00 PM,Rajasthan,2,2,3,0,4,0
187,3/17/2020,6:00 PM,Tamil Nadu,1,0,0,0,1,0
188,3/17/2020,6:00 PM,Telengana,3,2,1,0,5,0
189,3/17/2020,6:00 PM,Jammu and Kashmir,3,0,0,0,3,0
190,3/17/2020,6:00 PM,Ladakh,6,0,0,0,6,0
191,3/17/2020,6:00 PM,Uttar Pradesh,14,1,5,0,15,0
192,3/17/2020,6:00 PM,Uttarakhand,1,0,0,0,1,0
193,3/18/2020,6:00 PM,Andhra Pradesh,1,0,0,0,1,0
194,3/18/2020,6:00 PM,Delhi,9,1,2,1,10,0
195,3/18/2020,6:00 PM,Haryana,3,14,0,0,17,0
196,3/18/2020,6:00 PM,Karnataka,11,0,0,1,11,0
197,3/18/2020,6:00 PM,Kerala,25,2,3,0,27,0
198,3/18/2020,6:00 PM,Maharashtra,39,3,0,1,42,0
199,3/18/2020,6:00 PM,Odisha,1,0,0,0,1,0
200,3/18/2020,6:00 PM,Puducherry,1,0,0,0,1,0
201,3/18/2020,6:00 PM,Punjab,1,0,0,0,1,0
202,3/18/2020,6:00 PM,Rajasthan,2,2,3,0,4,0
203,3/18/2020,6:00 PM,Tamil Nadu,1,0,0,0,1,0
204,3/18/2020,6:00 PM,Telengana,4,2,1,0,6,0
205,3/18/2020,6:00 PM,Jammu and Kashmir,3,0,0,0,3,0
206,3/18/2020,6:00 PM,Ladakh,8,0,0,0,8,0
207,3/18/2020,6:00 PM,Uttar Pradesh,15,1,5,0,16,0
208,3/18/2020,6:00 PM,Uttarakhand,1,0,0,0,1,0
209,3/18/2020,6:00 PM,West Bengal,1,0,0,0,1,0
